Account name,Date,Transaction type,Transaction number,Name,Description,Full name,Account name,Amount line,Balance
PayPal Bank 3,11/27/2023,Deposit,91D50112T52088104,07 1000 DRONES RESTR,Subject: 1000DRONESTransaction ID: 91D50112T52088104https://www.paypal.com/activity/payment/91D50112T52088104,PayPal Bank 3,--,$100.00,$100.00
Donations directed by individuals,11/27/2023,Deposit,91D50112T52088104,07 1000 DRONES RESTR,1000 DRONES FOR UKRAINE - 1000 DRONES FOR UKRAINE,Contributed income:Donations directed by individuals,PayPal Bank 3,$102.53,$202.53
PayPal Fees,11/27/2023,Deposit,91D50112T52088104,07 1000 DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.53,$205.06
PayPal Bank 3,11/27/2023,Deposit,8UM88794R53216747,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 8UM88794R53216747https://www.paypal.com/activity/payment/8UM88794R53216747,PayPal Bank 3,--,$98.46,$303.52
Donations directed by individuals,11/27/2023,Deposit,8UM88794R53216747,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$102.53,$406.05
PayPal Fees,11/27/2023,Deposit,8UM88794R53216747,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$4.07,$410.12
PayPal Bank 3,11/27/2023,Deposit,3LH984674H965421V,--,Subject: Support UkraineTransaction ID: 3LH984674H965421Vhttps://www.paypal.com/activity/payment/3LH984674H965421V,PayPal Bank 3,--,$25.24,$435.36
Donations directed by individuals,11/27/2023,Deposit,3LH984674H965421V,--,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$26.25,$461.61
PayPal Fees,11/27/2023,Deposit,3LH984674H965421V,--,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.01,$462.62
PayPal Bank 3,11/27/2023,Deposit,11700335Y7511251E,10 Flight to Recovery RESTR,Subject: FlightToRecoveryTransaction ID: 11700335Y7511251Ehttps://www.paypal.com/activity/payment/11700335Y7511251E,PayPal Bank 3,--,$18.81,$481.43
Donations directed by individuals,11/27/2023,Deposit,11700335Y7511251E,10 Flight to Recovery RESTR,Flight to Recovery - Flight to Recovery,Contributed income:Donations directed by individuals,PayPal Bank 3,$20.00,$501.43
PayPal Fees,11/27/2023,Deposit,11700335Y7511251E,10 Flight to Recovery RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.19,$502.62
PayPal Bank 3,11/27/2023,Deposit,5SC22996SP0747445,09 MSU RESTR,Subject: New 10 UnitsTransaction ID: 5SC22996SP0747445https://www.paypal.com/activity/payment/5SC22996SP0747445,PayPal Bank 3,--,$47.76,$550.38
Donations directed by individuals,11/27/2023,Deposit,5SC22996SP0747445,09 MSU RESTR,donation-form,Contributed income:Donations directed by individuals,PayPal Bank 3,$50.00,$600.38
PayPal Fees,11/27/2023,Deposit,5SC22996SP0747445,09 MSU RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.24,$602.62
PayPal Bank 3,11/27/2023,Deposit,7HW10979F5348170E,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageNote: Thank you for your bravery.   We are 100% behind your effort.Transaction ID: 7HW10979F5348170Ehttps://www.paypal.com/activity/payment/7HW10979F5348170E,PayPal Bank 3,--,$100.00,$702.62
Donations directed by individuals,11/27/2023,Deposit,7HW10979F5348170E,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$102.53,$805.15
PayPal Fees,11/27/2023,Deposit,7HW10979F5348170E,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.53,$807.68
PayPal Bank 3,11/27/2023,Deposit,8S090093AM688972C,08 VICTORY DRONES RESTR,Subject: VICTORY DRONESTransaction ID: 8S090093AM688972Chttps://www.paypal.com/activity/payment/8S090093AM688972C,PayPal Bank 3,--,$100.93,$908.61
Donations directed by individuals,11/27/2023,Deposit,8S090093AM688972C,08 VICTORY DRONES RESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$103.48,"$1,012.09"
PayPal Fees,11/27/2023,Deposit,8S090093AM688972C,08 VICTORY DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.55,"$1,014.64"
PayPal Bank 3,11/27/2023,Deposit,0U362913815712404,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 0U362913815712404https://www.paypal.com/activity/payment/0U362913815712404,PayPal Bank 3,--,$49.23,"$1,063.87"
Donations directed by individuals,11/27/2023,Deposit,0U362913815712404,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$51.52,"$1,115.39"
PayPal Fees,11/27/2023,Deposit,0U362913815712404,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.29,"$1,117.68"
PayPal Bank 3,11/27/2023,Deposit,7K258496F7487793L,07 1000 DRONES RESTR,Subject: GeneralPageNote: for dronesTransaction ID: 7K258496F7487793Lhttps://www.paypal.com/activity/payment/7K258496F7487793L,PayPal Bank 3,--,$50.66,"$1,168.34"
Donations directed by individuals,11/27/2023,Deposit,7K258496F7487793L,07 1000 DRONES RESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$53.00,"$1,221.34"
PayPal Fees,11/27/2023,Deposit,7K258496F7487793L,07 1000 DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.34,"$1,223.68"
