Date,Category,UAH
2023-04-20,General Donations,25.0
2023-05-03,General Donations,7.0
2023-05-05,General Donations,175.0
2023-05-10,General Donations,4.0
2023-05-18,General Donations,0.07
2023-05-20,General Donations,270.0
2023-05-21,General Donations,425.0
2023-05-22,General Donations,5384.0
2023-05-27,General Donations,360.0
2023-05-29,General Donations,0.97
2023-05-30,General Donations,0.37
2023-05-31,General Donations,230.54
2023-06-03,General Donations,40.0
2023-06-05,General Donations,5.64
2023-06-06,General Donations,637.0
2023-06-07,General Donations,100.0
2023-06-10,General Donations,170.0
2023-06-14,General Donations,98.0
2023-06-17,General Donations,185.0
2023-06-18,General Donations,200.0
2023-06-21,General Donations,3456.0
2023-06-23,General Donations,80.0
2023-06-24,General Donations,540.0
2023-06-26,General Donations,58.75
2023-06-30,General Donations,60.0
2023-07-01,General Donations,117.2
2023-07-08,General Donations,750.0
2023-07-15,General Donations,130.0
2023-07-18,General Donations,141.85
2023-07-22,General Donations,146.95
2023-07-24,General Donations,40.0
2023-07-27,General Donations,633.13
2023-07-30,General Donations,30.0
2023-08-10,General Donations,100.0
2023-08-11,General Donations,50.5
2023-08-15,General Donations,30.0
2023-08-19,General Donations,120.0
2023-08-21,General Donations,300.0
2023-08-23,General Donations,3500.0
2023-08-26,General Donations,60.0
2023-08-27,General Donations,1010.0
2023-08-28,General Donations,2100.0
2023-08-30,General Donations,2400.0
2023-09-01,General Donations,565.0
2023-09-02,General Donations,1000.0
2023-09-06,General Donations,500.0
2023-09-09,General Donations,110.0
2023-09-10,General Donations,2000.0
2023-09-14,General Donations,739.96
2023-09-16,General Donations,25.0
2023-09-17,General Donations,140.0
2023-09-20,General Donations,3000.0
2023-09-21,General Donations,30.0
2023-09-22,1000 Drones For Ukraine,6288.62
2023-09-22,General Donations,44948.72
2023-09-22,Mobile Shower Units,596.4100000000001
2023-09-22,Veteranius,31.1
2023-09-22,Victory Drones,1578.54
2023-09-23,1000 Drones For Ukraine,6209.72
2023-09-23,Flight To Recovery,693.46
2023-09-23,General Donations,32354.79
2023-09-23,Mobile Shower Units,253.98000000000002
2023-09-23,Veteranius,155.55
2023-09-23,Victory Drones,1623.76
2023-09-24,1000 Drones For Ukraine,610.65
2023-09-24,Flight To Recovery,51.52
2023-09-24,General Donations,306.59
2023-09-24,Veteranius,31.11
2023-09-24,Victory Drones,102.53
2023-09-25,General Donations,245.0
2023-09-25,Mobile Shower Units,10.7
2023-09-26,General Donations,1000.0
2023-09-27,General Donations,5.6
2023-09-28,1000 Drones For Ukraine,100.0
2023-10-04,General Donations,218.32
2023-10-04,Victory Drones,103.48
2023-10-05,General Donations,25.0
2023-10-06,1000 Drones For Ukraine,413.55
2023-10-06,Flight To Recovery,176.38
2023-10-06,General Donations,1281.27
2023-10-06,Mobile Shower Units,20.91
2023-10-06,Victory Drones,180.0
2023-10-09,General Donations,164.56
2023-10-12,General Donations,3000.0
2023-10-15,General Donations,100.0
2023-10-19,General Donations,522.5
2023-11-02,1000 Drones For Ukraine,1869.67
2023-11-02,Flight To Recovery,87.22
2023-11-02,General Donations,9612.99
2023-11-02,Mobile Shower Units,25.0
2023-11-02,Victory Drones,131.57
2023-11-03,General Donations,1292.32
2023-11-03,Victory Drones,102.53
2023-11-05,1000 Drones For Ukraine,1240.29
2023-11-05,Flight To Recovery,155.47
2023-11-05,General Donations,1316.35
2023-11-05,Mobile Shower Units,880.05
2023-11-05,Victory Drones,103.48
2023-11-06,General Donations,259.09000000000003
2023-11-07,General Donations,98.43
2023-11-08,General Donations,1115.65
2023-11-08,Mobile Shower Units,50.0
2023-11-09,1000 Drones For Ukraine,204.56
2023-11-09,General Donations,51.52
2023-11-10,General Donations,339.5
2023-11-10,Mobile Shower Units,360.0
2023-11-11,1000 Drones For Ukraine,100.0
2023-11-11,General Donations,204.13
2023-11-11,Mobile Shower Units,400.0
2023-11-12,General Donations,87.99000000000001
2023-11-13,Flight To Recovery,51.52
2023-11-13,General Donations,2251.0
2023-11-13,Mobile Shower Units,510.65
2023-11-14,1000 Drones For Ukraine,10.7
2023-11-14,General Donations,10.7
2023-11-15,General Donations,388.72
2023-11-16,General Donations,246.61
2023-11-17,General Donations,65.8
2023-11-17,Mobile Shower Units,760.0
2023-11-17,Victory Drones,3.59
2023-11-18,General Donations,398.0
2023-11-18,Mobile Shower Units,50.0
2023-11-19,1000 Drones For Ukraine,20.0
2023-11-19,General Donations,101.83
2023-11-20,1000 Drones For Ukraine,57.120000000000005
2023-11-20,General Donations,295.33
2023-11-21,--,255.58
2023-11-21,General Donations,139.44
2023-11-22,1000 Drones For Ukraine,173.75
2023-11-22,General Donations,541.75
2023-11-23,General Donations,726.28
2023-11-23,Victory Drones,103.59
2023-11-24,1000 Drones For Ukraine,26.01
2023-11-24,Flight To Recovery,51.52
2023-11-25,1000 Drones For Ukraine,868.76
2023-11-25,General Donations,185.14000000000001
2023-11-26,General Donations,234.56
2023-11-26,Mobile Shower Units,100.0
2023-11-27,--,26.25
2023-11-27,1000 Drones For Ukraine,155.53
2023-11-27,Flight To Recovery,20.0
2023-11-27,General Donations,1459.53
2023-11-27,Mobile Shower Units,50.0
2023-11-27,Victory Drones,103.48
2023-11-28,1000 Drones For Ukraine,102.53
2023-11-28,General Donations,270.57
2023-11-28,Mobile Shower Units,170.0
2023-11-29,1000 Drones For Ukraine,224.45
2023-11-29,Flight To Recovery,10.7
2023-11-29,General Donations,103.48
2023-11-29,Mobile Shower Units,45.0
2023-11-29,Victory Drones,50.0
2023-11-30,General Donations,432.11
2023-12-01,1000 Drones For Ukraine,77.77000000000001
2023-12-01,General Donations,144.35000000000002
2023-12-01,Mobile Shower Units,600.0
2023-12-02,1000 Drones For Ukraine,46.83
2023-12-02,General Donations,437.15000000000003
2023-12-02,Mobile Shower Units,1000.0
2023-12-03,1000 Drones For Ukraine,41.31
2023-12-03,General Donations,31.4
2023-12-04,1000 Drones For Ukraine,200.0
2023-12-04,Flight To Recovery,103.48
2023-12-04,General Donations,73.9
2023-12-04,Victory Drones,103.48
2023-12-05,1000 Drones For Ukraine,50.0
2023-12-05,General Donations,122.53
2023-12-05,Mobile Shower Units,141.0
2023-12-06,1000 Drones For Ukraine,404.56
2023-12-06,General Donations,76.52000000000001
2023-12-07,1000 Drones For Ukraine,35.0
2023-12-07,General Donations,630.76
2023-12-07,Victory Drones,113.23
2023-12-08,1000 Drones For Ukraine,300.0
2023-12-08,General Donations,71.52000000000001
2023-12-08,Victory Drones,307.09000000000003
2023-12-09,1000 Drones For Ukraine,51.52
2023-12-09,General Donations,1204.56
2023-12-09,Mobile Shower Units,510.0
2023-12-09,Victory Drones,77.02
