Date,USD
2023-04-20,25.0
2023-05-03,7.0
2023-05-05,175.0
2023-05-10,4.0
2023-05-18,0.07
2023-05-20,270.0
2023-05-21,425.0
2023-05-22,5384.0
2023-05-27,360.0
2023-05-29,0.97
2023-05-30,0.37
2023-05-31,230.54
2023-06-03,40.0
2023-06-05,5.64
2023-06-06,637.0
2023-06-07,100.0
2023-06-10,170.0
2023-06-14,98.0
2023-06-17,185.0
2023-06-18,200.0
2023-06-21,3456.0
2023-06-23,80.0
2023-06-24,540.0
2023-06-26,58.75
2023-06-30,60.0
2023-07-01,117.2
2023-07-08,750.0
2023-07-15,130.0
2023-07-18,141.85
2023-07-22,146.95
2023-07-24,40.0
2023-07-27,633.13
2023-07-30,30.0
2023-08-10,840100.0
2023-08-11,50.5
2023-08-14,250000.0
2023-08-15,30.0
2023-08-19,120.0
2023-08-21,300.0
2023-08-22,10000.0
2023-08-23,3500.0
2023-08-25,10000.0
2023-08-26,60.0
2023-08-27,1010.0
2023-08-28,2100.0
2023-08-30,2400.0
2023-09-01,565.0
2023-09-02,1000.0
2023-09-06,500.0
2023-09-09,110.0
2023-09-10,2000.0
2023-09-14,739.96
2023-09-16,25.0
2023-09-17,140.0
2023-09-20,3000.0
2023-09-21,30.0
2023-09-22,65443.39
2023-09-23,41291.26
2023-09-24,1102.3999999999999
2023-09-25,15255.7
2023-09-26,1000.0
2023-09-27,5.6
2023-09-28,100.0
2023-10-04,321.8
2023-10-05,25.0
2023-10-06,2072.11
2023-10-09,164.56
2023-10-12,353000.0
2023-10-15,100.0
2023-10-19,522.5
2023-11-02,11726.45
2023-11-03,1394.85
2023-11-05,3695.64
2023-11-06,259.09000000000003
2023-11-07,98.43
2023-11-08,1165.65
2023-11-09,256.08
2023-11-10,699.5
2023-11-11,704.13
2023-11-12,87.99000000000001
2023-11-13,2813.17
2023-11-14,21.4
2023-11-15,388.72
2023-11-16,246.61
2023-11-17,829.39
2023-11-18,448.0
2023-11-19,121.83000000000001
2023-11-20,352.45
2023-11-21,395.02
2023-11-22,715.5
2023-11-23,829.87
2023-11-24,10281.070000000002
2023-11-25,1053.8999999999999
2023-11-26,334.56
2023-11-27,1814.79
2023-11-28,543.1
2023-11-29,433.63
2023-11-30,432.11
2023-12-01,822.12
2023-12-02,1483.98
2023-12-03,72.71000000000001
2023-12-04,480.86
2023-12-05,313.53
2023-12-06,481.08000000000004
2023-12-07,778.99
2023-12-08,678.61
2023-12-09,1843.1
