Date,Category,UAH
2023-05-30,Admin,0.38
2023-05-31,Admin,15.0
2023-06-04,Admin,152.54000000000002
2023-06-05,Admin,1410.57
2023-06-06,Admin,1000.0
2023-06-07,Admin,49.06
2023-06-12,Admin,1081.06
2023-06-14,Admin,2288.8
2023-06-21,Admin,20.0
2023-06-23,Admin,589.55
2023-06-29,Admin,754.77
2023-08-09,Admin,1650.6
2023-08-10,Admin,15.0
2023-08-14,Admin,57.5
2023-08-15,Admin,885.0
2023-09-13,Admin,85.0
2023-09-24,Admin,2540.99
2023-09-28,Admin,6474.59
2023-10-13,Admin,85.0
2023-10-25,Admin,1386.29
2023-11-13,Admin,85.0
